epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,474.242,0.58882,0.4081,0.90423,0.84706,0.71018,0.77564,0.52102,1.29751,1.11549,1.18611,0.00079705,0.00079705,0.00079705
43,484.763,0.60101,0.4174,0.90892,0.83237,0.73605,0.79973,0.52458,1.34336,1.04691,1.22932,0.0007921,0.0007921,0.0007921
44,495.337,0.60874,0.41896,0.90949,0.83434,0.70529,0.77225,0.52717,1.30564,1.28773,1.21277,0.00078715,0.00078715,0.00078715
45,505.936,0.60209,0.41354,0.9063,0.84627,0.74434,0.80093,0.54369,1.29778,1.12316,1.20491,0.0007822,0.0007822,0.0007822
46,516.605,0.62911,0.42489,0.91046,0.83482,0.71834,0.78094,0.53159,1.26887,1.11977,1.19572,0.00077725,0.00077725,0.00077725
47,527.078,0.60389,0.41156,0.90686,0.79236,0.71524,0.76741,0.52956,1.31476,1.21655,1.22913,0.0007723,0.0007723,0.0007723
48,537.582,0.57797,0.39805,0.89728,0.83449,0.70967,0.7688,0.53109,1.27466,1.16516,1.17599,0.00076735,0.00076735,0.00076735
49,548.203,0.57643,0.3974,0.89874,0.85298,0.71555,0.78104,0.53853,1.25123,1.0993,1.18021,0.0007624,0.0007624,0.0007624
50,558.739,0.56661,0.39621,0.89434,0.85037,0.72949,0.78307,0.53414,1.26665,1.11244,1.19685,0.00075745,0.00075745,0.00075745
51,569.271,0.57822,0.39894,0.89848,0.87347,0.71646,0.79039,0.5366,1.28914,1.10529,1.21423,0.0007525,0.0007525,0.0007525
52,579.77,0.57892,0.39536,0.89908,0.85906,0.732,0.79867,0.54356,1.27145,1.09147,1.20879,0.00074755,0.00074755,0.00074755
53,590.312,0.56195,0.38715,0.89693,0.86182,0.73718,0.81022,0.56475,1.24354,1.07249,1.18122,0.0007426,0.0007426,0.0007426
54,600.889,0.59049,0.39096,0.89971,0.86213,0.71218,0.79139,0.55382,1.24953,1.12622,1.18698,0.00073765,0.00073765,0.00073765
55,611.47,0.5702,0.38477,0.89366,0.85078,0.73543,0.80474,0.55756,1.23297,1.09076,1.19118,0.0007327,0.0007327,0.0007327
56,623.599,0.56099,0.38106,0.89233,0.83627,0.73977,0.79943,0.55557,1.23968,1.11214,1.18988,0.00072775,0.00072775,0.00072775
57,635.517,0.5441,0.37398,0.88921,0.84534,0.73956,0.79817,0.54304,1.27961,1.08928,1.21125,0.0007228,0.0007228,0.0007228
58,646.258,0.53813,0.36943,0.88524,0.83578,0.72959,0.78353,0.5424,1.25362,1.14352,1.19852,0.00071785,0.00071785,0.00071785
59,656.838,0.5394,0.36882,0.88589,0.83322,0.73248,0.7855,0.54195,1.24748,1.09172,1.19216,0.0007129,0.0007129,0.0007129
60,667.5,0.53591,0.37056,0.88822,0.82841,0.74766,0.79366,0.55076,1.23289,1.12092,1.18277,0.00070795,0.00070795,0.00070795
61,678.217,0.54992,0.37813,0.88983,0.83472,0.69851,0.75967,0.52848,1.26081,1.17941,1.22537,0.000703,0.000703,0.000703
62,689.03,0.55075,0.37966,0.89205,0.8249,0.72711,0.76593,0.53356,1.27639,1.1995,1.2074,0.00069805,0.00069805,0.00069805
63,699.754,0.55029,0.37489,0.88485,0.8239,0.72149,0.78852,0.55528,1.25805,1.1467,1.20946,0.0006931,0.0006931,0.0006931
64,710.268,0.53556,0.36819,0.88343,0.85198,0.71274,0.79332,0.56216,1.26551,1.11778,1.1992,0.00068815,0.00068815,0.00068815
65,720.724,0.51955,0.3626,0.88059,0.84933,0.72048,0.79746,0.56952,1.24932,1.23751,1.1791,0.0006832,0.0006832,0.0006832
66,731.255,0.52751,0.36418,0.88302,0.8568,0.72128,0.78766,0.55186,1.27797,1.13777,1.21255,0.00067825,0.00067825,0.00067825
67,741.802,0.52507,0.35948,0.88015,0.85367,0.72431,0.80495,0.56175,1.24886,1.08821,1.19109,0.0006733,0.0006733,0.0006733
68,752.358,0.52308,0.35815,0.88049,0.85159,0.73512,0.79713,0.56022,1.22236,1.1805,1.18179,0.00066835,0.00066835,0.00066835
69,762.819,0.517,0.35718,0.87968,0.84729,0.74814,0.80884,0.56341,1.23068,1.07743,1.20001,0.0006634,0.0006634,0.0006634
70,773.294,0.51763,0.3524,0.88132,0.8631,0.70759,0.78738,0.56081,1.24336,1.20491,1.18197,0.00065845,0.00065845,0.00065845
71,783.807,0.52822,0.35845,0.88668,0.83169,0.72782,0.76933,0.53869,1.23852,1.17709,1.17803,0.0006535,0.0006535,0.0006535
72,794.248,0.50571,0.34884,0.87757,0.85156,0.72721,0.79697,0.56299,1.23972,1.17601,1.18949,0.00064855,0.00064855,0.00064855
73,804.694,0.5018,0.34494,0.87686,0.85087,0.70362,0.78664,0.55223,1.2722,1.19167,1.21142,0.0006436,0.0006436,0.0006436
74,815.142,0.52136,0.35073,0.87888,0.85131,0.74223,0.80691,0.57209,1.23582,1.13728,1.20111,0.00063865,0.00063865,0.00063865
75,825.76,0.49466,0.3411,0.87313,0.83688,0.7294,0.78899,0.54742,1.25069,1.13153,1.21122,0.0006337,0.0006337,0.0006337
76,836.221,0.49654,0.33783,0.87761,0.84557,0.71434,0.80144,0.5672,1.23258,1.14405,1.19327,0.00062875,0.00062875,0.00062875
77,846.662,0.50289,0.34382,0.87427,0.86169,0.74553,0.82144,0.58167,1.2217,1.09015,1.19617,0.0006238,0.0006238,0.0006238
78,857.206,0.4915,0.34024,0.87427,0.85472,0.70901,0.78301,0.55688,1.2461,1.19364,1.20132,0.00061885,0.00061885,0.00061885
79,867.806,0.49302,0.34038,0.87096,0.83793,0.71829,0.78642,0.55324,1.22062,1.14064,1.20196,0.0006139,0.0006139,0.0006139
80,878.382,0.48375,0.33208,0.86877,0.8444,0.71978,0.80836,0.57727,1.22148,1.17144,1.19342,0.00060895,0.00060895,0.00060895
81,888.831,0.48925,0.33261,0.87713,0.85037,0.71148,0.80723,0.5738,1.20767,1.15227,1.18982,0.000604,0.000604,0.000604
82,899.277,0.48877,0.33291,0.8711,0.8364,0.73803,0.81028,0.55703,1.26386,1.14319,1.20268,0.00059905,0.00059905,0.00059905
83,909.7,0.48326,0.33135,0.87013,0.84662,0.71892,0.7956,0.56212,1.25052,1.15158,1.19873,0.0005941,0.0005941,0.0005941
84,920.329,0.48058,0.32897,0.86767,0.866,0.72506,0.81187,0.56998,1.22035,1.10927,1.20012,0.00058915,0.00058915,0.00058915
85,930.809,0.48464,0.33145,0.86881,0.86368,0.72503,0.80661,0.57798,1.20496,1.14527,1.18006,0.0005842,0.0005842,0.0005842
86,941.307,0.47584,0.32977,0.86433,0.84487,0.72559,0.79365,0.56711,1.22691,1.21116,1.19399,0.00057925,0.00057925,0.00057925
87,951.849,0.47186,0.32721,0.86631,0.82349,0.76024,0.80761,0.57635,1.20999,1.0896,1.18302,0.0005743,0.0005743,0.0005743
88,962.492,0.45787,0.32045,0.86409,0.83514,0.73476,0.80909,0.58414,1.18329,1.128,1.1548,0.00056935,0.00056935,0.00056935
89,973.041,0.47304,0.32808,0.86348,0.83009,0.76054,0.81995,0.58591,1.19731,1.07825,1.18785,0.0005644,0.0005644,0.0005644
90,983.549,0.46619,0.32297,0.86534,0.82451,0.75011,0.81679,0.59003,1.20508,1.13539,1.18772,0.00055945,0.00055945,0.00055945
91,994.03,0.46765,0.31987,0.86397,0.85232,0.73594,0.8099,0.57292,1.21289,1.12963,1.18794,0.0005545,0.0005545,0.0005545
92,1004.5,0.45966,0.31733,0.86396,0.82692,0.74108,0.8006,0.56887,1.22362,1.13662,1.19935,0.00054955,0.00054955,0.00054955
93,1014.92,0.46369,0.31945,0.86259,0.85164,0.73151,0.80995,0.57181,1.24519,1.13951,1.20454,0.0005446,0.0005446,0.0005446
94,1025.41,0.4739,0.31935,0.86977,0.83749,0.73994,0.81041,0.57594,1.21519,1.11498,1.20711,0.00053965,0.00053965,0.00053965
95,1035.92,0.44545,0.3089,0.85603,0.84121,0.75434,0.81763,0.58462,1.18998,1.12066,1.18695,0.0005347,0.0005347,0.0005347
96,1046.47,0.44524,0.30854,0.85655,0.84709,0.74914,0.80848,0.56817,1.2162,1.0829,1.20234,0.00052975,0.00052975,0.00052975
97,1057.01,0.43724,0.30755,0.85517,0.84512,0.73168,0.81317,0.5864,1.21141,1.14665,1.18589,0.0005248,0.0005248,0.0005248
98,1067.57,0.43819,0.30602,0.85562,0.8307,0.74666,0.80914,0.58151,1.21348,1.14114,1.19596,0.00051985,0.00051985,0.00051985
99,1078.19,0.45588,0.31694,0.86308,0.85171,0.71849,0.79933,0.57225,1.2069,1.10322,1.19894,0.0005149,0.0005149,0.0005149
100,1088.89,0.44335,0.30925,0.85896,0.84862,0.74229,0.81068,0.58018,1.21651,1.05428,1.20439,0.00050995,0.00050995,0.00050995
101,1099.42,0.43935,0.30911,0.8572,0.86643,0.70312,0.79086,0.56292,1.20497,1.16003,1.20301,0.000505,0.000505,0.000505
102,1109.84,0.43188,0.30197,0.85504,0.86981,0.71264,0.81066,0.57678,1.22846,1.15602,1.20005,0.00050005,0.00050005,0.00050005
103,1120.3,0.43535,0.30445,0.85682,0.8372,0.74418,0.81182,0.58259,1.20666,1.07679,1.22697,0.0004951,0.0004951,0.0004951
104,1130.74,0.43945,0.30748,0.85593,0.83399,0.73065,0.81272,0.58043,1.21545,1.1348,1.20015,0.00049015,0.00049015,0.00049015
105,1141.28,0.44276,0.30677,0.85473,0.83228,0.75795,0.81434,0.57673,1.21439,1.1404,1.19599,0.0004852,0.0004852,0.0004852
106,1151.75,0.4385,0.30516,0.8556,0.84247,0.72553,0.80319,0.57236,1.19322,1.19243,1.19345,0.00048025,0.00048025,0.00048025
107,1162.23,0.42295,0.29709,0.85122,0.83823,0.72276,0.80571,0.58347,1.20333,1.18416,1.19443,0.0004753,0.0004753,0.0004753
108,1172.7,0.4278,0.29799,0.85137,0.84003,0.73917,0.81208,0.58033,1.22465,1.15302,1.20505,0.00047035,0.00047035,0.00047035
109,1183.15,0.43787,0.30319,0.85516,0.83244,0.74816,0.81296,0.58265,1.19357,1.11459,1.191,0.0004654,0.0004654,0.0004654
110,1193.63,0.43057,0.2991,0.85437,0.84632,0.73377,0.80334,0.57463,1.21055,1.13238,1.18886,0.00046045,0.00046045,0.00046045
111,1204.21,0.42142,0.29723,0.85297,0.84063,0.73062,0.80504,0.57608,1.19856,1.07871,1.19991,0.0004555,0.0004555,0.0004555
112,1214.66,0.42013,0.29439,0.85131,0.84777,0.73473,0.81024,0.57868,1.20604,1.10313,1.1963,0.00045055,0.00045055,0.00045055
113,1225.05,0.41829,0.29338,0.85253,0.83462,0.73108,0.80264,0.57831,1.22174,1.13338,1.21128,0.0004456,0.0004456,0.0004456
114,1235.42,0.4257,0.29573,0.8545,0.85472,0.74581,0.81866,0.59413,1.18022,1.0619,1.1774,0.00044065,0.00044065,0.00044065
115,1245.85,0.41121,0.28685,0.847,0.83822,0.75662,0.8194,0.5909,1.20097,1.08318,1.1971,0.0004357,0.0004357,0.0004357
116,1256.33,0.42106,0.29324,0.84806,0.85462,0.75418,0.81425,0.58839,1.20216,1.07626,1.20504,0.00043075,0.00043075,0.00043075
117,1266.79,0.41145,0.28843,0.85066,0.84214,0.75465,0.814,0.59434,1.19491,1.08313,1.19057,0.0004258,0.0004258,0.0004258
118,1277.28,0.41034,0.28774,0.84591,0.84725,0.75585,0.81614,0.59933,1.17187,1.13411,1.17427,0.00042085,0.00042085,0.00042085
119,1287.74,0.40894,0.28731,0.85049,0.86182,0.73836,0.82746,0.60628,1.16702,1.11982,1.17193,0.0004159,0.0004159,0.0004159
120,1298.19,0.40471,0.28374,0.8479,0.86417,0.7275,0.81191,0.59538,1.18259,1.14523,1.17443,0.00041095,0.00041095,0.00041095
121,1308.67,0.40605,0.28406,0.84647,0.85106,0.73165,0.80709,0.58233,1.17279,1.1085,1.17328,0.000406,0.000406,0.000406
