epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52765,1.95746,4.09325,1.94973,0.00114,0.12119,0.00403,0.00124,2.37862,4.01747,2.14001,0.0676188,9.74359e-05,9.74359e-05
2,8.55509,1.64762,3.20521,1.70456,0.08999,0.52203,0.17001,0.09128,1.91443,3.53836,1.76994,0.0343829,0.00019483,0.00019483
3,12.5689,1.51111,2.42201,1.59876,0.69282,0.18573,0.26991,0.12232,2.00902,2.89181,1.79122,0.00114428,0.000289584,0.000289584
4,16.6159,1.35232,1.96663,1.47241,0.60868,0.45469,0.50523,0.25866,1.84423,2.15661,1.69943,0.00028812,0.00028812,0.00028812
5,21.1215,1.25893,1.71745,1.42224,0.74609,0.46498,0.56449,0.30587,1.68902,2.0156,1.63856,0.00028416,0.00028416,0.00028416
6,25.4083,1.22261,1.52124,1.36639,0.67845,0.53372,0.58571,0.33848,1.64635,1.82214,1.58431,0.0002802,0.0002802,0.0002802
7,29.7029,1.15337,1.36155,1.31887,0.69219,0.51627,0.59111,0.33235,1.68425,1.75489,1.61651,0.00027624,0.00027624,0.00027624
8,34.123,1.06248,1.21572,1.26501,0.64505,0.52638,0.61428,0.33069,1.73891,1.74503,1.61829,0.00027228,0.00027228,0.00027228
9,38.3789,1.04834,1.18782,1.243,0.66955,0.57157,0.61551,0.3486,1.6484,1.72991,1.56862,0.00026832,0.00026832,0.00026832
10,42.5252,1.00646,1.12138,1.2227,0.67691,0.61058,0.64598,0.32444,1.78257,1.67816,1.66928,0.00026436,0.00026436,0.00026436
11,46.7092,0.97605,1.04794,1.19954,0.75884,0.60441,0.67814,0.38183,1.6312,1.60057,1.59862,0.0002604,0.0002604,0.0002604
12,50.9375,0.96822,1.0098,1.19073,0.66974,0.67328,0.63937,0.36579,1.62214,1.58446,1.60081,0.00025644,0.00025644,0.00025644
13,55.6863,0.94672,0.99282,1.17443,0.71053,0.65033,0.67117,0.39444,1.59964,1.59851,1.58531,0.00025248,0.00025248,0.00025248
14,60.5836,0.8851,0.93142,1.14033,0.67123,0.69045,0.69177,0.39866,1.6287,1.57001,1.58779,0.00024852,0.00024852,0.00024852
15,64.7867,0.86959,0.88788,1.13451,0.78216,0.60471,0.67752,0.38919,1.60438,1.64471,1.57977,0.00024456,0.00024456,0.00024456
16,68.9691,0.8475,0.85766,1.10309,0.74729,0.59322,0.68114,0.39751,1.58729,1.50525,1.54373,0.0002406,0.0002406,0.0002406
