epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.45503,1.91593,3.94836,1.92237,0.01029,0.36197,0.05472,0.02178,2.27934,3.90383,2.38514,0.0672414,9.85714e-05,9.85714e-05
2,15.0315,1.60288,2.74097,1.68324,0.59339,0.28077,0.34915,0.18251,1.96812,2.77393,1.77785,0.0340055,0.00019595,0.00019595
3,22.4152,1.37865,1.97256,1.51018,0.36542,0.3597,0.34629,0.15532,2.13973,2.62958,1.9434,0.00076688,0.000290689,0.000290689
4,29.719,1.2441,1.52951,1.39391,0.53733,0.50584,0.52523,0.28742,1.8894,1.86843,1.81876,0.00028812,0.00028812,0.00028812
5,37.138,1.13574,1.28558,1.31255,0.61093,0.50206,0.55977,0.29377,1.76304,1.96113,1.65361,0.00028416,0.00028416,0.00028416
6,44.4719,1.05896,1.12137,1.2508,0.65629,0.55109,0.60338,0.3147,1.79629,1.8534,1.66968,0.0002802,0.0002802,0.0002802
7,51.8368,1.0014,1.03199,1.21429,0.72102,0.50914,0.60262,0.29384,1.83803,1.74435,1.70252,0.00027624,0.00027624,0.00027624
8,59.2907,0.97088,0.97143,1.18508,0.69731,0.53502,0.61849,0.31106,1.77852,1.67597,1.68215,0.00027228,0.00027228,0.00027228
9,66.7182,0.91107,0.88868,1.15704,0.70957,0.52836,0.63906,0.36967,1.59387,1.68221,1.52684,0.00026832,0.00026832,0.00026832
10,74.3148,0.88327,0.84237,1.14,0.63328,0.66642,0.64711,0.33257,1.72562,1.61455,1.67183,0.00026436,0.00026436,0.00026436
11,81.7864,0.85283,0.8082,1.11442,0.65272,0.61154,0.6148,0.33532,1.65398,1.85255,1.57484,0.0002604,0.0002604,0.0002604
12,89.2397,0.83615,0.77555,1.10734,0.69037,0.58639,0.62891,0.36891,1.54763,1.73002,1.53176,0.00025644,0.00025644,0.00025644
13,96.4967,0.81676,0.74362,1.08883,0.72529,0.5405,0.62535,0.37091,1.6103,1.71059,1.53191,0.00025248,0.00025248,0.00025248
14,104.078,0.8046,0.72863,1.08296,0.74528,0.58938,0.65868,0.35383,1.67689,1.56958,1.61436,0.00024852,0.00024852,0.00024852
15,111.458,0.7879,0.71449,1.0818,0.73841,0.6298,0.6706,0.38756,1.52257,1.51356,1.48687,0.00024456,0.00024456,0.00024456
16,118.716,0.75211,0.67071,1.0541,0.65946,0.66219,0.67807,0.40708,1.54718,1.51695,1.49636,0.0002406,0.0002406,0.0002406
17,125.997,0.74907,0.66392,1.05655,0.71822,0.58135,0.65468,0.38935,1.57241,1.68411,1.50303,0.00023664,0.00023664,0.00023664
18,133.217,0.7213,0.62729,1.03868,0.77413,0.56427,0.69324,0.4197,1.48947,1.59307,1.487,0.00023268,0.00023268,0.00023268
19,140.45,0.72978,0.62303,1.03712,0.73997,0.63558,0.68983,0.41792,1.51584,1.56177,1.49927,0.00022872,0.00022872,0.00022872
20,147.699,0.69453,0.60615,1.02502,0.7232,0.62039,0.69073,0.38413,1.58113,1.64355,1.52982,0.00022476,0.00022476,0.00022476
21,154.945,0.67225,0.58451,1.00791,0.72008,0.63546,0.69567,0.4231,1.50762,1.5144,1.47293,0.0002208,0.0002208,0.0002208
22,162.232,0.68093,0.57131,1.01389,0.73697,0.65019,0.69713,0.40154,1.57473,1.56212,1.51973,0.00021684,0.00021684,0.00021684
23,169.852,0.68635,0.58031,1.02101,0.75115,0.63345,0.69779,0.41073,1.53477,1.52089,1.51359,0.00021288,0.00021288,0.00021288
24,177.218,0.6513,0.55967,1.00169,0.71595,0.60882,0.67944,0.41219,1.5,1.61774,1.46071,0.00020892,0.00020892,0.00020892
25,184.42,0.65208,0.56555,1.00216,0.71507,0.64735,0.67415,0.40181,1.48285,1.54438,1.46163,0.00020496,0.00020496,0.00020496
